Job_Title,Job_Company,Job_Location,Job_Salary,Job_Description,Job_Email,Job_PostedDate,Job_Link
Cloud Engineer - Medical / Clinical Data,"VENESCO, LLC","Frederick, MD",$125K - $145K (Employer est.),"Description:
Venesco, LLC is recruiting a Cloud Engineer to serve as a subject matter expert on cloud computing and data architecture technologies and trends for our Department of Defense medical research customer. Experience with GovCloud and/or medical/clinical data is preferred.
Hybrid Work Schedule - 3 days per week onsite at Fort Detrick, 2 days per week may be remote.
Essential Duties and Responsibilities:
Create and maintain a well-informed, near term and long-range cloud and data strategy document, including a continual analysis of cloud/data applications, hardware, software, and organizational approaches to meet mission requirements.
Requirements:
Show more",N/A,2d,"https://www.glassdoor.com/job-listing/cloud-engineer-medical-clinical-data-venesco-llc-JV_IC1153851_KO0,36_KE37,48.htm?jl=1009439072832"
Data Engineer,The Brattle Group,"Washington, DC",$100K - $105K (Employer est.),"The Brattle Group, a privately held, global economics consulting firm, is looking for a Data Engineer to join our Boston, MA or Washington, D.C. office. The Data Engineer works in the data engineering team and alongside Brattle consulting teams to implement the latest technologies and provide expert guidance on technical workstreams. Responsibilities will range from researching and implementing new tools, communicating with external clients, and creating reproducible scripts to clean, process, or analyze data. Projects are wide-ranging with numerous opportunities for professional development, innovation, and growth.

Some of the day-to-day responsibilities of this role include:





Show more",N/A,11d,"https://www.glassdoor.com/job-listing/data-engineer-the-brattle-group-JV_IC1138213_KO0,13_KE14,31.htm?jl=1009426925513"
Lead Data Engineer,Miami Marlins,"Miami, FL",$123K - $164K (Glassdoor est.),"We seek a Lead Data Engineer with a passion for baseball and technology to lead the development of timely and reliable data pipelines. Your work will deliver the data that informs the decisions that build a sustainable winning team in Miami.
Key Responsibilities:
Serve as the tech lead for the Marlins’ Data Engineering team.
Lead the design, development, documentation, and maintenance of schemas and ETL pipelines for internal databases and data warehouses that scale and adapt to future use cases.
Break down complex data engineering projects into actionable work plans including proposed task assignments with clear design specifications.

Show more",N/A,26d,"https://www.glassdoor.com/job-listing/lead-data-engineer-miami-marlins-JV_IC1154170_KO0,18_KE19,32.htm?jl=1009407418009"
SAP Data Engineer - HANA,Intone Networks,"San Jose, CA",$113K - $158K (Glassdoor est.),"SAP Data Engineer - HANA Hybrid (2-3 days onsite) San Jose, California
Show more",N/A,5d,"https://www.glassdoor.com/job-listing/sap-data-engineer-hana-intone-networks-JV_IC1147436_KO0,22_KE23,38.htm?jl=1009436207849"
Data Engineer,RIVA Solutions Inc.,United States,$100K - $150K (Employer est.),"Title: Data Engineer
Location: Remote
Terms: Full-time
Clearance: Public Trust
Travel: 0-20%
Education: MS/MA degree
Certifications: Microsoft Certified: Azure Enterprise Data Analyst Associate or Microsoft Certified: Fabric Analytics Engineer Associate AND Microsoft Certified: Azure Data Engineer Associate
Experience: Minimum of 8+ years of relevant experience
RESULTS. INNOVATION. VALUES. ACCOUNTABILITY

Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-engineer-riva-solutions-inc-JV_KO0,13_KE14,32.htm?jl=1009389253242"
Scala Data Engineer,Index Analytics Llc,"Windsor Mill, MD",$97K - $145K (Glassdoor est.),"Index Analytics, LLC, is a rapidly growing Baltimore-based small business providing health related consulting services to the federal government. At the center of our company culture is a commitment to instilling a dynamic and employee-friendly place to work. We place a priority on promoting a supportive and collegial team environment and enhancing staffs experience through career development and educational opportunities.
Index Analytics is seeking a Scala Data Engineer to support Government clients in the Baltimore and Washington D.C. Metro Area. The Data Engineer will provide O&M support and contribute to building new implementations for thousands of users spread across the country.
Responsibilities
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/scala-data-engineer-index-analytics-llc-JV_IC1153655_KO0,19_KE20,39.htm?jl=1009379449005"
Senior Data Warehouse Engineer - Remote,"TrueCar, Inc.",United States,$141K - $185K (Employer est.),"TrueCar is a leading automotive digital marketplace and we are on a mission to make car buying and selling easy, transparent and efficient. We work to empower consumers with data, and foster connections with our network of Certified Dealers who share our belief that truth, transparency and fairness are the foundation to a great experience. We forge partnerships to power car buying programs for some of America’s most trusted brands. And we continually innovate to provide useful tools, research, market context and pricing transparency to help consumers feel empowered and confident all throughout their journey.
As consumers’ priorities and shopping habits shifted, so did we. We are building a modern day marketplace and invite you to come join the TrueCar Crew. You can have a real & direct impact on our journey as we continue to evolve and revolutionize the car buying and selling experience. We are seeking talented individuals who are excited by our mission to revolutionize & elevate the car buying & selling experience.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/senior-data-warehouse-engineer-remote-truecar-inc-JV_KO0,37_KE38,49.htm?jl=1009385004411"
Senior Data Science Engineer,Recurly,"Boulder, CO",$140K - $170K (Employer est.),"About Recurly:
Recurly, Inc., a SaaS company, provides a versatile subscription management platform to manage the entire subscription lifecycle for market-leading brands worldwide. Subscription businesses such as Sling TV, FabFitFun, Cinemark and Fubo.tv depend on Recurly to harness the power of the subscription model and drive recurring revenue growth. Since its launch in 2009, Recurly has deployed subscription billing for thousands of companies across 55 countries. Our platform empowers billions of credit card transactions and has enabled customers to recover nearly $1.2 billion in revenue in 2023.

Recurly is backed by Accel-KKR, a leading technology-focused private equity firm with over $10 billion in capital commitments. The partnership offers Recurly access to significant capital and resources to make continued investments in technology and platform innovation and expand our go-to-market initiatives.





Show more",N/A,24h,"https://www.glassdoor.com/job-listing/senior-data-science-engineer-recurly-JV_IC1148112_KO0,28_KE29,36.htm?jl=1009440466849"
Senior Data Engineer II,Kandji,"San Francisco, CA",$187K - $206K (Employer est.),"About Kandji

Kandji is the Apple Device Management and Security Platform. Kandji empowers companies to manage and secure Apple devices in the enterprise and at scale. By centrally securing and managing Mac, iPhone, iPad, and Apple TV devices, IT and InfoSec teams can save countless hours of manual, repetitive work with features like one-click compliance templates and more than 150 pre-built automations, apps, and workflows.

Device Harmony is our vision for tearing down the wall between IT and InfoSec to keep every Apple user secure and productive, using connected intelligence and automation. By choosing a career with Kandji, you will play an integral role in contributing to making our vision a reality. Backed by world-class investors such as Tiger Global, Greycroft, B Capital Group, Okta Ventures, the Spruce House Partnership, and First Round Capital, Kandji has raised over $100+M in capital to date.











Show more",N/A,7d,"https://www.glassdoor.com/job-listing/senior-data-engineer-ii-kandji-JV_IC1147401_KO0,23_KE24,30.htm?jl=1009432238043"
Data Engineer,Foundation for California Community Colleges,California,$110K - $160K (Employer est.),"Data Engineer
California College Guidance Initiative
Remote/Virtual - All candidates must live in California.
Full-Time
The California College Guidance Initiative is looking for a data engineering expert to join the Cloud Infrastructure Team. As part of the team, you will be a key strategic leader in the expansion, refinement, and continued development of CCGI’s infrastructure utilizing Snowflake and Amazon Web Services (AWS), as well as continuing to build out our data analytics and engineering tools. This role will be instrumental in helping us scale our work statewide and open the door for expanded use of California's official college and career planning platform for K-12th grade students, parents, and educators, CaliforniaColleges.edu.

$110,000.00 - $160,000.00
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-engineer-foundation-for-california-community-colleges-JV_KO0,13_KE14,58.htm?jl=1009382359996"
Senior Data Engineer (Remote - US),Energy Solutions - USA,"Oakland, CA",$135K - $165K (Employer est.),"Interested in joining a growing company where you will work with talented colleagues, enhance a supportive and energetic culture, and be part of the climate solution? At Energy Solutions, we focus on the big impacts. And we believe that market-based programs can be a powerful force to deliver large-scale energy, carbon, and water-use savings. Since 1995, we've harnessed that power to offer proven, performance-based solutions for our utility, government, and institutional customers.
We are currently seeking a Senior Data Engineer to join our Information Systems team to design, develop, and maintain data platforms that support the data needs across Energy Solutions. In this role, the ideal candidate is a passionate and highly skilled professional with expertise in analytics tools and cloud technologies like AWS, Azure or similar technologies. They should be proficient in programming languages such as SQL, NoSQL, and Python, capable of processing large data sets to deliver high-quality, customer-facing data solutions and insights. This unique position is perfect for individuals with technical prowess in data field that want to have an impact on energy efficiency markets and greenhouse gas reductions through our work for major North American utilities and other clients around the country.



Show more",N/A,5d,"https://www.glassdoor.com/job-listing/senior-data-engineer-remote-us-energy-solutions-usa-JV_IC1147380_KO0,30_KE31,51.htm?jl=1009436014642"
Data Engineer,Intelligent Waves LLC,"Crystal City, VA",$80K - $117K (Glassdoor est.),"Overview:
Since 2006, Intelligent Waves has delivered mission-focused multi-domain operational expertise and innovation to the Government through high-impact technology solutions in cybersecurity, data science, enterprise network engineering, software development, and platform mission support. Anytime. Anywhere. Any domain.

Advana is a multi-domain technology platform which offers military and business decision makers, analysts, and users at all levels unprecedented access to authoritative enterprise data and structured analytics in a scalable, reliable, and secure environment. It offers platform-, data analytics-, and data science-as-a-service tools to complete analysis and data exploration and data visualization capabilities. Using one central data platform with right-time data, data tools, and other self-service products, the goal of Advana is to simplify solutions and put the power of analytics in the pocket of every analyst and decision-making authority within the DOD.




Responsibilities:
Qualifications:




Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-engineer-intelligent-waves-llc-JV_IC4990373_KO0,13_KE14,35.htm?jl=1009364166745"
Sr. Data Engineer,Farm Credit Bank of Texas,"Austin, TX",$108K - $142K (Glassdoor est.),"Who we are:
Farm Credit Bank of Texas is a $37.5 billion wholesale bank that has been financing agriculture and rural America for over 100 years. Headquartered in Austin, Texas, we provide funding and services to rural lending associations in five states, and we are active in the nation’s capital markets.
While you may not be familiar with our name, Farm Credit Bank of Texas plays a critical role in supporting the businesses that make it possible for America to maintain access to an affordable and safe food supply, an industry which is one of the most innovative and evolving of our time. And while you help us deliver on our mission, we deliver on our commitment to you as a valued employee by providing competitive compensation, generous health and wellness benefits packages and an attractive hybrid workplace located along the bluffs of the Colorado River just minutes west of downtown Austin.









Show more",N/A,25d,"https://www.glassdoor.com/job-listing/sr-data-engineer-farm-credit-bank-of-texas-JV_IC1139761_KO0,16_KE17,42.htm?jl=1009408993177"
AI Engineer - Machine Learning and Data Science,Nationwide IT Services,"Fairfax, VA",$98K - $134K (Glassdoor est.),"AI Engineer - Machine Learning and Data Science
Job Description
Are you a passionate AI engineer eager to shape the future? We're seeking a talented individual to join our innovative team and contribute to cutting-edge projects. As an AI Engineer, you'll leverage your expertise in machine learning, data science, cloud technologies, Python, and front-end development to create groundbreaking solutions.

Responsibilities
Machine Learning Model Development: Design, develop, and deploy machine learning models for various applications, including predictive analytics, natural language processing, and computer vision.
If you're a talented AI engineer looking to make a significant impact, we encourage you to apply!


NIS is an IT and Management consulting company, is a CVE-verified Service-Disabled Veteran- Owned Small Business. Our mission is to deliver value-added services to our customers, leveraging technology, people, and industry best practices to implement innovative solutions through our trusted employees and team members.

Our benefits package includes medical, dental, and vision insurance, life and disability insurance, 401(k) plan with employer match, paid holidays, PTO (sick/vacation), commuter benefits, employee assistance program (EAP), and educational reimbursement along with Pet Insurance.

Nationwide IT Services, Inc. provides equal employment opportunities (EEO) to all qualified applicants for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, genetics, disability or protected veteran status.
Show more",N/A,13d,"https://www.glassdoor.com/job-listing/ai-engineer-machine-learning-and-data-science-nationwide-it-services-JV_IC1130359_KO0,45_KE46,68.htm?jl=1009423389596"
Senior Data Engineer,Altruist Corp,"Los Angeles, CA",$158K - $203K (Employer est.),"About Altruist
Altruist is the modern custodian built exclusively for independent financial advisors that combines a self-clearing brokerage firm with intuitive software for account opening, trading, reporting, and billing — all in one streamlined solution. Financial advisors across the U.S. have partnered with Altruist to reduce costs, save time, grow their business, and provide better outcomes for their clients. Our mission is to make financial advice better, more affordable, and accessible to everyone — but we can’t do it alone. We’re seeking exceptional talent to join our team. That’s where you come in!
If you’re passionate about challenging the status quo and making a meaningful impact in the financial advice industry, we’d love to meet you!
But first, our values




Show more",N/A,6d,"https://www.glassdoor.com/job-listing/senior-data-engineer-altruist-corp-JV_IC1146821_KO0,20_KE21,34.htm?jl=1009434624768"
Engineer Scientist I - Data Management Coordinator Team,"Arcata Associates, Inc.","Huntsville, AL",$56K - $83K (Glassdoor est.),"Job Summary
As part of the Data Management Coordinator (DMC) team, the Engineer Scientist I is a Payload Operations Integration Center (POIC) flight control position that manages the resources required to capture and distribute International Space Station (ISS) Payload science and telemetry data. In supporting real-time payload operations onboard the ISS, the DMC flight controller position is staffed on a 24x7 basis.
Responsibilities / Duties
Participates in developing the plan for data and video activities, testing new tools and displays, certifying that products and personnel are ready for flight operations, and real-time operations of the ISS onboard data and video system components.
Show more",N/A,14d,"https://www.glassdoor.com/job-listing/engineer-scientist-i-data-management-coordinator-team-arcata-associates-inc-JV_IC1127653_KO0,53_KE54,75.htm?jl=1009422633953"
Senior Data Engineer,Dev Technology,"Ashburn, VA",$117K - $154K (Glassdoor est.),"Senior Data Engineer #787

Clearance: Active DHS Public Trust or similar clearance that will gain reciprocity
What You'll Be Doing
The Senior Data Engineer will work with our data warehousing team to transform transactional data into datasets that are consumable by a variety of consumers, for reporting and analytics. The successful candidate will be flexible and forward-leaning, able to learn new tools and skills, and able to learn new data domains as the data warehouse grows.
Required Skills and Experience:



Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/senior-data-engineer-dev-technology-JV_IC1130338_KO0,20_KE21,35.htm?jl=1009382148357"
Data Center Storage Engineer,Expedient,United States,$120K - $130K (Employer est.),"Expedient has an immediate opening for an experienced Data Center Storage Engineer on our Service Reliability team. Previous experience working with enterprise data center storage hardware and storage software is a must. Additional experience with distributed file systems, networking and backup is also desirable. The successful candidate will be familiar with new and emerging technology and new platforms in the cloud storage discipline.

This is not a role that develops software. Instead, this role will join the team that ensures that Expedient cloud hosting, DR, backups and connectivity remain dependable by developing strategies to prevent failures and minimize and/or eliminate downtime.

While very much focused on technical storage strategies, this is a highly collaborative position that works with other technical teams and clients; the ability to justify your thought processes with data in a professional, thoughtful manner is a requirement to success in this role.

For more information about our technology and our teams, please visit us at www.expedient.com




Salary for this position is directly commensurate with your experience. Estimated salary range is $120,000 to $130,000 annually.






Show more",N/A,3d,"https://www.glassdoor.com/job-listing/data-center-storage-engineer-expedient-JV_KO0,28_KE29,38.htm?jl=1009438226309"
Data Engineer,Praxis Engineering,"McLean, VA",$80K - $114K (Glassdoor est.),"Senior Data Engineer
The Data Engineer will manipulate data and data flows for both existing and new systems. Additionally, they will provide support in the areas of data extraction, transformation and load (ETL), data mapping, analytics, operations, databases, and maintenance of data and associated systems. As a member of the team, candidate will work in a multi-tasking, quick-paced, dynamic, process-improvement environment that requires experience with the principles of large-scale (terabytes) database development, large-scale file manipulation, data modeling, data mapping, data testing, data quality, and documentation preparation.

What you will be doing:










We are focused on continual learning and evolution. We don’t do things because “that’s the way we’ve always done things”; we listen to our employees and adapt to the changing marketplace. We look at the big picture and encourage our engineers to get training and certifications in emerging technologies that will help shape our customer’s mission. We've been profitable year after year. We're always on the lookout for great engineers to join the team and we recognize that our employees are the heart and soul of what we do. We focus on recruiting talented people, treating them right, and then allowing them to do what they do best. No red tape. No micromanagement. Smart people want to work with smart people, and we love people who are passionate about what they do, and finding ways to do it better.

Show more",N/A,20d,"https://www.glassdoor.com/job-listing/data-engineer-praxis-engineering-JV_IC1158535_KO0,13_KE14,32.htm?jl=1009415004390"
Data Connections Engineer,Intelligent Waves LLC,"Crystal City, VA",$103K - $150K (Glassdoor est.),"Overview:
Since 2006, Intelligent Waves has delivered mission-focused multi-domain operational expertise and innovation to the Government through high-impact technology solutions in cybersecurity, data science, enterprise network engineering, software development, and platform mission support. Anytime. Anywhere. Any domain.

Advana is a multi-domain technology platform which offers military and business decision makers, analysts, and users at all levels unprecedented access to authoritative enterprise data and structured analytics in a scalable, reliable, and secure environment. It offers platform-, data analytics-, and data science-as-a-service tools to complete analysis and data exploration and data visualization capabilities. Using one central data platform with right-time data, data tools, and other self-service products, the goal of Advana is to simplify solutions and put the power of analytics in the pocket of every analyst and decision-making authority within the DOD.




Responsibilities:
Qualifications:





Show more",N/A,5d,"https://www.glassdoor.com/job-listing/data-connections-engineer-intelligent-waves-llc-JV_IC4990373_KO0,25_KE26,47.htm?jl=1009436587540"
"Principal Software Engineer, Data Platform",Nuna,"San Francisco, CA",$240K - $310K (Employer est.),"At Nuna, our mission is to make high-quality healthcare affordable and accessible for everyone. We are dedicated to tackling one of our nation's biggest problems with ingenuity, creativity, and a keen moral compass.

Nuna is committed to simple principles: a rigorous understanding of data, modern technology, and most importantly, compassion and care for our fellow human. We want to know what really works, what doesn't—and why.
YOUR TEAM
Nuna's Value Platform will make payers and providers successful in value-based care arrangements to improve outcomes and lower the cost of care. Our work runs the gamut from joining streams of messy real-world data to building queryable data warehouses to constructing visualizations and dashboards that provide actionable insight. We build systems that are auditable, as automated as possible, an accurate representation of the underlying data, and, most importantly, responsive to our end users' needs. We strive for a creative, collaborative engineering environment that implements best practices of peer review, readability, maintainability, and security of the code base and infrastructure.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/principal-software-engineer-data-platform-nuna-JV_IC1147401_KO0,41_KE42,46.htm?jl=1009371207003"
"Senior Software Engineer, Data Services Team",Prove,"Chicago, IL",$140K - $175K (Employer est.),"About Prove
As the world moves to a mobile-first economy, businesses need to modernize how they acquire, engage with and enable consumers. Prove’s phone-centric identity tokenization and passive cryptographic authentication solutions reduce friction, enhance security and privacy across all digital channels, and accelerate revenues while reducing operating expenses and fraud losses. Over 1,000 enterprise customers use Prove’s platform to process 20 billion customer requests annually across industries, including banking, lending, healthcare, gaming, crypto, e-commerce, marketplaces, and payments. For the latest updates from Prove,
Prove is driving the future of digital identity. We are looking for Provers who know how to make an impact. We’re talking self-starting professionals who thrive in a fast-paced environment, process information quickly, and make intelligent decisions. The work is challenging and requires not only smart but natural curiosity and tenacity. Teamwork is also important to us – we work together and play together.








Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/senior-software-engineer-data-services-team-prove-JV_IC1128808_KO0,43_KE44,49.htm?jl=1009395184790"
Sr. Software Engineer - Data Platform,Contrast Security,"San Francisco, CA",$150K - $180K (Employer est.),"Contrast Security Named One of the Hottest Cybersecurity Companies in the 2024 Citizens JMP Securities LLC Cyber 66 Report
Contrast recognized for its innovation in Runtime Security

Contrast Security is the world’s leading provider of security technology that enables software applications to protect themselves against cyberattacks, heralding the new era of self-protecting software. Contrast's patented deep security instrumentation is the breakthrough technology that enables highly accurate assessment and always-on protection of an entire application portfolio without disruptive scanning or expensive security experts. Only Contrast has sensors that work actively inside applications to uncover vulnerabilities, prevent data breaches, and secure the entire enterprise from development to operations to production.










Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/sr-software-engineer-data-platform-contrast-security-JV_IC1147401_KO0,34_KE35,52.htm?jl=1009303505932"
Data Architect/Principal Data Engineer,Scribd,United States,$158K - $282K (Employer est.),"At Scribd (pronounced “scribbed”), our mission is to spark human curiosity. Join our team as we create a world of stories and knowledge, democratize the exchange of ideas and information, and empower collective expertise through our three products: Everand, Scribd, and Slideshare.

We support a culture where our employees can be real and be bold; where we debate and commit as we embrace plot twists; and where every employee is empowered to take action as we prioritize the customer.

Our flexible work benefit - Scribd Flex - enables employees, in partnership with their manager, to choose the daily work-style that best suits their individual needs. As an organization, we prioritize collaboration and intentional in-person moments to build culture and connection. For this reason, occasional in-person attendance is required for all Scribd employees, regardless of their location.



















Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-architect-principal-data-engineer-scribd-JV_KO0,38_KE39,45.htm?jl=1009373314930"
Research Foundation - Data Engineer (Senior Research Support Specialist),SUNY ESF,"Syracuse, NY",$55K - $64K (Employer est.),"Location: Syracuse, NY Category: Research Foundation Posted On: Tue May 21 2024 Job Description:

Title: Senior Research Support Specialist
Campus Title: Data Engineer
Unit: Sustainable Resources Management
Position location: ESF's Syracuse campus
Salary: $55,000 - $64,000, depending on qualifications
Position Description: The CAFRI Data Engineer is responsible for managing and operating the CAFRI data infrastructure, which houses and provides access to a large and growing library of geospatial and tabular data, processing tools and workflows, custom code, and cloud-hosted databases. The Data Engineer has two equally important roles: 1) to manage the components of the CAFRI data infrastructure and all the information it contains, and 2) to operate this infrastructure to provide efficient data access for both internal and external end-users. As part of the manager role, the Data Engineer will troubleshoot problems and identify opportunities to improve database schema and workflows to make routine queries more efficient. The position will also oversee release of new/updated data products, generate standardized metadata, track product versions and curate data archives. The operational role includes working with CAFRI personnel and/or external partners (such as NYS DEC) to define and execute custom queries based on target variables, period, area of interest and other parameters; duties may also involve providing 'back-end' database support for user-facing visualization/mapping applications. The position reports to the CAFRI Director but will frequently interface in a service capacity with a variety of data end-users, including students, faculty, agency staffers, and others.




Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/research-foundation-data-engineer-senior-research-support-specialist-suny-esf-JV_IC1132872_KO0,68_KE69,77.htm?jl=1009288368638"
Cloud Engineer/ Data Scientist – TS/SCI with CI Poly,Xcelerate Solutions,"Bethesda, MD",$96K - $155K (Glassdoor est.),"Cloud Engineer/ Data Scientist – TS/SCI with CI Poly
Xcelerate Solution is seeking an experienced architecture savvy Cloud Engineer / Data Scientist to join our dynamic team. You will play a critical role in shaping our client's enterprise architecture, driving core to edge cloud and data-related initiatives across the client’s organization. Come join our award-winning organization and work with some of the most talented and brightest minds in the GovCon industry.
Location:
Bethesda, MD
Security Clearance:
TS/SCI with CI Poly
Responsibilities:



Show more",N/A,24h,"https://www.glassdoor.com/job-listing/cloud-engineer-data-scientist-ts-sci-with-ci-poly-xcelerate-solutions-JV_IC1153817_KO0,49_KE50,69.htm?jl=1009440199147"
