Job_Title,Job_Company,Job_Location,Job_Salary,Job_Description,Job_Email,Job_PostedDate,Job_Link
Cloud Data Engineer,BigR.io,Remote,$140K - $150K (Employer est.),"Job Title: Cloud Data Engineer- Azure and DataBricks
Location: Remote
Duration: 3 months Contract to hire- East Coast hours
About BigRio: BigRio is a remote-based, technology consulting firm headquartered in Boston, MA. We deliver solutions ranging from custom development, software implementation, data analytics, and machine learning/AI integrations. We are a one-stop shop that attracts clients from various industries because of our proven ability to deliver cutting-edge and cost-conscious software solutions.
With extensive domain knowledge, BigRio has teams of data architects, data engineers, software engineers, web developers, and consultants who deliver best-in-class solutions across a variety of verticals. Our diverse industry exposure equips us with invaluable tools, tricks, and techniques to tackle complex software and data challenges.























Show more",N/A,24h,"https://www.glassdoor.com/job-listing/cloud-data-engineer-bigr-io-JV_KO0,19_KE20,27.htm?jl=1009441489727"
Data Engineer,Fidelity TalentSource,"Westlake, TX",$84K - $115K (Glassdoor est.),"Principle Data Engineer
The Role
The Customer Data Technology group supporting our Wealth Management Domain within Fidelity’s Wealth organization is seeking a Principal Full Stack Engineer to aid in our migration to the Cloud. The role is based in our Westlake TX office.
This role is critical in delivering Fidelity’s promise of creating the best customer experience. Apart from cloud migration and associated cloud tools you will get exposure to our CI/CD deployment infrastructure, Agile development tools and procedures, relational (and non-relational) database technologies, and technology leadership opportunities.
The Expertise and Skills You Bring
10+ years in solutioning of Oracle development (PL/SQL) and/or Streams based development
3+ years of solutioning experience with one or more of the following:
AWS Cloud environments (development, deployment, and support)
Containerization and Orchestration technologies
Application web server technology concepts
Python/PySpark
5+ years of solutioning and development with ETL technologies (snaplogic)
2+ years of data modelling
2+ years of NoSQL experience (DynamoDB/Aerospike)
Strong understanding of Data Warehouse modelling and Reporting and Analytics platforms like Snowflake
Strong understanding of API development experience with large scale, highly available Enterprise class platforms
2+ years Java development experience
2+ years of microservices architecture & development
Strong experience developing in an Agile team setting (Kanban and/or SCRUM)
Experience working in a DevOps and CI/CD environment
AWS certification a strong plus
A Bachelor’s or Master’s degree in Computer Science, Information Technology, or equivalent experience
Ability to think out of box and design end-to-end solutions
Passion and intellectually curious to learn new technologies and business areas
Ability to deal with ambiguity and work in a fast-paced environment
Excellent verbal and written communication skills
Excellent collaboration skills to work with multiple teams in the organization


The Team
We are responsible for providing the Data Engineering technical expertise and leadership used by our Planning and Advice Platform. This role is critical in delivering Fidelity’s promise of creating the best customer experience on our mobile and web-based applications.




Show more",N/A,24h,"https://www.glassdoor.com/job-listing/data-engineer-fidelity-talentsource-JV_IC1161600_KO0,13_KE14,35.htm?jl=1009439880727"
Data Engineer,TempWorks Software,"Bloomington, MN",$104K - $144K (Employer est.),"Order: 712
Data Engineer Job Description
Job Summary:
A Data Engineer at TempWorks is responsible for delivering data-driven insights to innovate and drive business success. The Data Engineer plays a crucial role in designing, developing, and maintaining our data architecture to support our growing data needs. The Data Engineer collaborates closely with cross-functional teams including data scientists, analysts, and software engineers to ensure the reliability, scalability, and performance of our data systems.

General Responsibilities:


Show more",N/A,4d,"https://www.glassdoor.com/job-listing/data-engineer-tempworks-software-JV_IC1162257_KO0,13_KE14,32.htm?jl=1009437408044"
Software Engineer / Data Analytics,GliaCell Technologies,"Laurel, MD",$85K - $123K (Glassdoor est.),"Are you a Software Engineer / Data Analytics who is ready for a new challenge that will launch your career to the next level?
Tired of being treated like a company drone?
Tired of promised adventures during the hiring phase, then being dropped off on a remote contract and never seen or heard from the mothership again?
Our engineers were certainly tired of the same.
At GliaCell our slogan is “We make It happen”.
We will immerse you in the latest technologies.
We will develop and support your own personalized training program to continue your individual growth.
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/software-engineer-data-analytics-gliacell-technologies-JV_IC1153871_KO0,32_KE33,54.htm?jl=1009441491847"
Data QA Engineer,"Ascend Analytics, LLC","Boulder, CO",$75K - $105K (Employer est.),"Data QA Engineer, Boulder, CO

About Ascend
Ascend Analytics’ climate technology software and services provide critical insights to power the energy transition. The company’s products enhance critical power supply decisions from short-term operating strategies to long-term investment and resource planning. Ascends solutions serve as the core analytic infrastructure for electric utilities, independent power producers, electric retailers, and financiers of energy infrastructure. To learn more about Ascend, please visit us at www.ascendanalytics.com.
Your Impact at Ascend Analytics
Show more",N/A,11d,"https://www.glassdoor.com/job-listing/data-qa-engineer-ascend-analytics-llc-JV_IC1148112_KO0,16_KE17,37.htm?jl=1009427160770"
Data Engineer (SME),Full Visbility,"Huntsville, AL",$86K - $126K (Glassdoor est.),"About Us
FULL VISIBILITY IS A CERTIFIED VIRGINIA BASED SMALL BUSINESS INFORMATION TECHNOLOGY SOLUTIONS PROVIDER SPECIALIZED IN DELIVERING SAFE AND SECURE SOLUTIONS FOR FEDERAL GOVERNMENT AGENCIES.

Full Visibility was established by technology industry veterans with extensive client and consulting backgrounds. The Full Visibility team is unique in recognizing that the level of transparency the client receives often leads to extraordinarily successful engagements. Our focus is on delivering quality solutions that exceed project specifications, and which provide our clients with full visibility into their businesses.



















Show more",N/A,26d,"https://www.glassdoor.com/job-listing/data-engineer-sme-full-visbility-JV_IC1127653_KO0,17_KE18,32.htm?jl=1009407531085"
Data Platform Engineer,Joyent,"Mountain View, CA",$135K - $170K (Employer est.),"Mountain View, CA, Hybrid (3 times per week)
Job Summary
We are looking for a mid level backend engineer who loves to build cloud services — a systems engineer who is comfortable in every stage of the design, implementation, testing, and deployment process. In particular, we are hiring an engineer who can develop and deploy cloud-based data analytics services to be used by data engineers, analysts and data scientists. These initial services are similar to AWS EMR-on-EKS, EMR Studio, etc.
Job Responsibilities
Building, implementing and deploying cloud services, especially data analysis-related tools.
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-platform-engineer-joyent-JV_IC1147431_KO0,22_KE23,29.htm?jl=1009385085146"
Software Engineer -Big Data,CEDENT,"Dallas, TX",$120.00 - $135.00 Per Hour (Employer est.),"Title: Software Engineer – Big Data @ Dallas, TX / Washington, DC
Terms of Hire: Full Time.
Salary: $ 120-135 K/ YR + Benefits.
Role Description
As a Software Engineer supporting the Climate Impact Team, you will use your expertise Big Data to analyze, optimize, and visualize data in support of the team’s efforts. You will work within a cross functional team including Data Scientists, Software Engineers, Product Owners, and DevOps Engineers.

THE IMPACT YOU WILL MAKE
The Software Engineer role will offer you the flexibility to make each day your own, while working alongside people who care so that you can deliver on the following responsibilities:
Qualifications:
THE EXPERIENCE YOU BRING TO THE TEAM

Basic Qualifications:

Preferred Qualifications:
You Will Enjoy:

All applications will be kept strictly confidential and once shortlisted, our team will be in touch with you for further discussions.
Show more",N/A,29d,"https://www.glassdoor.com/job-listing/software-engineer-big-data-cedent-JV_IC1139977_KO0,26_KE27,33.htm?jl=1009404444720"
Data Platform Software Engineer,Muon Space,"Mountain View, CA",$95K - $195K (Employer est.),"About the role
Muon Space is building an expert team that is designing and generating value-added products from Earth observations from Muon's constellation of low Earth orbit satellites and other geospatial datasets. The Data Platform Software Engineer will be a key player on the Muon Data Platform Team to support the development and operations of a reliable software container platform for hosting data and machine learning pipelines. This role will collaborate closely with data and software engineers and geospatial, scientific, and machine learning product developers to incorporate scalable cloud resources and modern software engineering practices into Muon's product development process in order to meet Muon's goals in monitoring and addressing climate change.

Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/data-platform-software-engineer-muon-space-JV_IC1147431_KO0,31_KE32,42.htm?jl=1009375978807"
Data Integration Engineer (Snowflake/Informatica),TECKpert,"Tallahassee, FL",$135K - $155K (Employer est.),"We are looking for a Data Integration Engineer to support our client based in Tallahassee, Florida.
US BASED CANDIDATES ONLY.
This is an onsite position based in Tallahassee office, FL.
*No third parties and no sponsorship*
Who we are
Founded in 2009 and headquartered in beautiful Miami, FL, TECKpert is a tech consulting and staff augmentation firm. At TECKpert, we offer a contingent workforce built for any size digital transformation project. Experts in design, development, IT, analytics and marketing, provide innovative digital solutions to achieve success in our new economy. Our leaders identify the technical talent best suited to bolster our client’s capabilities, across all industries, including, healthcare, government, finance, legal, real estate, and startups.
Show more",N/A,4d,"https://www.glassdoor.com/job-listing/data-integration-engineer-snowflake-informatica-teckpert-JV_IC1154378_KO0,47_KE48,56.htm?jl=1009437634977"
Software Data Engineer (Enterprise Infrastructure),Themis Insight,"Laurel, MD",$108K - $156K (Glassdoor est.),"Themis Insight solves difficult business, IT, and analytic problems by addressing the whole problem – not just the symptoms – using interdisciplinary approaches that are both practical and innovative. We provide fresh alternatives to ordinary, mainstream consulting firms through small, highly skilled, and hand-picked teams that can meet clients' needs in any industry. Our broad interdisciplinary understanding allows us to provide the right solution, even if it is from outside the industry or traditionally defined problem space. We bring Public and Private, Civilian and Military expertise to every case.

We are hiring a Software Data Engineer (Enterprise Infrastructure) to work in Laurel, MD. Position location is subject to change based on central MD client's needs.
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/software-data-engineer-enterprise-infrastructure-themis-insight-JV_IC1153871_KO0,48_KE49,63.htm?jl=1009439501174"
Senior Data Infrastructure Engineer,"Flagship Pioneering, Inc.","Cambridge, MA",$105K - $152K (Glassdoor est.),"What if… you could join an organization that creates, resources, and builds life sciences companies that invent breakthrough technologies in order to transform health care and sustainability?
Montai Therapeutics is a privately held, early-stage biotechnology company developing a platform for understanding and leveraging complex molecular interactions within organisms to solve global challenges in human health and sustainability. The company leverages a multidisciplinary approach that integrates tools ranging from machine learning and big data to multi-omics and high-throughput screening.
At Montai, we nurture a bold, spirited, and leading-edge culture dedicated to strengthening human health:
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/senior-data-infrastructure-engineer-flagship-pioneering-inc-JV_IC1154545_KO0,35_KE36,59.htm?jl=1009331830777"
Voice/Data Comm Engineer,AHU Technologies Inc,"Washington, DC",$40.00 - $50.00 Per Hour (Employer est.),"Benefits:
mobile devices
network
Video
Voice
Call Center
UIP
ACD
PBX

Voice/Data Comm Engineer
Washington DC / Hybrid
Bachelor’s degree in IT, related field, or equivalent experience.
6 years
Webcam Only




Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/voice-data-comm-engineer-ahu-technologies-inc-JV_IC1138213_KO0,24_KE25,45.htm?jl=1009349091369"
Senior Data Science Engineer,Production Modeling Corporation,"Troy, MI",$130K - $150K (Employer est.),"Senior Data Science Engineer
Full Time
Hybrid Remote(3 days a week onsite) in Troy, MI
This role is to work with the Data Science team to develop and deploy machine learning solutions of the enterprise application and data landscape.
The following functions are the responsibility of the Sr DS Engineer within Data Science Team.
Position Responsibilities:
Responsibilities includes, but are not limited to the following:
Design, build, deploy, monitor and support production deployment of data science solutions using
Show more",N/A,5d,"https://www.glassdoor.com/job-listing/senior-data-science-engineer-production-modeling-corporation-JV_IC1134737_KO0,28_KE29,60.htm?jl=1009436684804"
Data Quality Engineer,CTEC Corp.,Remote,$100K (Employer est.),"Cybermedia Technologies (CTEC) www.ctec-corp.com is a CMMI Level III company that has provided technology and management solutions to commercial and government clients across the USA for 20 years. We are currently looking for a Data Quality Engineer to join our team.
Duties and Responsibilities:
· Analyzes and tests relevant datasets for client business needs, and reports findings.
· Leverages innovative models for data analysis and testing.
· Analyzes data for trends and patterns, and interprets data with clear objectives.
· Utilizes algorithms and models to analyze data stores.
· Performs data and error analysis to improve models.
· Validates data for uniformity and accuracy.
Show more",N/A,4d,"https://www.glassdoor.com/job-listing/data-quality-engineer-ctec-corp-JV_KO0,21_KE22,31.htm?jl=1009437362208"
Application Engineer 4 (Data Team),Themis Insight,"Laurel, MD",$93K - $126K (Glassdoor est.),"Themis Insight solves difficult business, IT, and analytic problems by addressing the whole problem – not just the symptoms – using interdisciplinary approaches that are both practical and innovative. We provide fresh alternatives to ordinary, mainstream consulting firms through small, highly skilled, and hand-picked teams that can meet clients' needs in any industry. Our broad interdisciplinary understanding allows us to provide the right solution, even if it is from outside the industry or traditionally defined problem space. We bring Public and Private, Civilian and Military expertise to every case.

We are hiring a Application Engineer 4 (Data Team) to work in Laurel, MD. Position location is subject to change based on central MD client's needs.
Show more",N/A,5d,"https://www.glassdoor.com/job-listing/application-engineer-4-data-team-themis-insight-JV_IC1153871_KO0,32_KE33,47.htm?jl=1009436176259"
Data Engineer (TS/SCI Required),Constellation West,"Washington, DC",$125K - $130K (Employer est.),"Job Description and Tasks:
The contractor shall lead collaborative data interoperability efforts with IC, DoD, and foreign partners. The contractor shall manage and analyze large and/or complex data sets. The contractor shall provide recommendations on data integration opportunities and data sources across all related capability development initiatives being worked on MARS. The contractor shall advise and apply skills on various Defense Intelligence Enterprise and IC data management matters by applying substantive, analytical, operational, program management, and/or IC expertise. The contractor shall provide- consultation and expertise and apply skills to the program staff on data analytics-related projects across the program. The contractor shall automate and orchestrate workloads across various cloud data environments in classified and unclassified networks. The contractor shall support the development of MARS edge and cross-domain solutions. The contractor shall manage and oversee non-routine and complex projects with agile development teams as assigned.
Show more",N/A,19d,"https://www.glassdoor.com/job-listing/data-engineer-ts-sci-required-constellation-west-JV_IC1138213_KO0,29_KE30,48.htm?jl=1009416396750"
Data Engineer Mid-Level,IntelliGenesis,"Alexandria, VA",$92K - $133K (Glassdoor est.),"This work shall be performed onsite at the DC-area offices of the Chief Digital and AI Office in Falls Church, Pentagon, Alexandria, and Arlington. The candidates will be required to be in the office approximately 2-3 days per week. *This is for upcoming work awaiting contract award.

Job Duties:
Support the configuration and ingestion of designated structured, unstructured, and semi-structured data repositories into capabilities that satisfy mission partner requirements and support a data analytics and DevOps pipeline to drive rapid delivery of functionality to the client.
Show more",N/A,6d,"https://www.glassdoor.com/job-listing/data-engineer-mid-level-intelligenesis-JV_IC1130334_KO0,23_KE24,38.htm?jl=1009434398696"
Senior Data Analyst/Engineer,KODA Technologies Inc.,"Huntsville, AL",$85K - $118K (Glassdoor est.),"Senior Data Analyst/Engineer I-III
Company Overview:
KODA is a people-first company recognized as a five-time winner of Huntsville's Best Places to Work® Award, certified as a Great Place to Work®, and a Best Place for Working Parents®. KODA is a small business focused on solving complex engineering problems on national-priority projects in domains such as missile defense, hypersonics, DOD space, and civil space.
Our expertise spans Radar and Missile Development, Multi-Domain Operations, Flight and Ground Test Planning and Execution, Tactical Data Link Testing, Test Range Instrumentation, Systems Engineering and Integration, Model and Simulation Development, and Digital Engineering/Model-Based Systems Engineering.

Show more",N/A,4d,"https://www.glassdoor.com/job-listing/senior-data-analyst-engineer-koda-technologies-inc-JV_IC1127653_KO0,28_KE29,50.htm?jl=1009437876044"
Staff Data Engineer,Ubiety,"Chicago, IL",$170K - $190K (Employer est.),"Engineering
Data
Summary
Ubiety Technologies, Inc is building a cutting edge AI platform capable of generating world first insights from high velocity Radio Frequency data that will improve the safety and security of homes, businesses, and communities. We offer a fast-paced, highly collaborative startup environment where you will be inventing and developing transformative products to improve the lives of our customers. You will be working alongside extremely talented engineers and creative designers from inception through delivery of a revolutionary product.
‍
Show more",N/A,7d,"https://www.glassdoor.com/job-listing/staff-data-engineer-ubiety-JV_IC1128808_KO0,19_KE20,26.htm?jl=1009432733212"
AWS Data Engineer,ViewSoft,"Manassas, VA",$100K - $136K (Glassdoor est.),"Great careers start at Viewsoft Inc.
We are always on the lookout for talent in various areas of it.
Our company is small with an open and diverse culture. We are committed to “responsive empowerment” where empowerment is sustained and nurtured by the commitment and accountability of all members involved. We are growing and so is our need for dedicated, resourceful team members. We will even train the right people and prepare them to serve our ever-growing project needs.

AWS Data Engineer
We are looking for AWS Data Engineers in the Ashburn, VA area to support a DOD Client working on a cloud migration project.

Open Positions: 5
Salary: Based on Experience
Start date: Immediately

Requirements:
Show more",N/A,30d+,"https://www.glassdoor.com/job-listing/aws-data-engineer-viewsoft-JV_IC1130381_KO0,17_KE18,26.htm?jl=1009393112605"
Sr. Data Center Engineer,Arraya Solutions,"Blue Bell, PA",$76K - $103K (Glassdoor est.),"Arraya Solutions is looking for a Sr. Data Center Engineer to join our team!
At Arraya Solutions, we’re at the forefront of delivering cutting-edge, enterprise-class solutions that address our clients’ most complex IT challenges. Serving a variety of industries, we prioritize individualized attention and commitment in each client relationship. Joining our team means becoming an integral part of a vibrant community of passionate professionals who thrive on innovation, collaboration, and a relentless pursuit of knowledge.
As the Sr. Data Center Engineer, you will be a key contributor delivering engagements with our clients to implement their private and hybrid cloud data center environments utilizing servers, storage, virtualization, orchestration/automation, high-availability, backup, and disaster recovery systems. Additionally, you will be working with our clients to incorporate public cloud services from Microsoft, Amazon, and others.
Show more",N/A,24h,"https://www.glassdoor.com/job-listing/sr-data-center-engineer-arraya-solutions-JV_IC1152529_KO0,23_KE24,40.htm?jl=1009441567565"
Big Data Engineer,CEDENT,"Herndon, VA",$84K - $144K (Glassdoor est.),"Title: Big Data Engineer@ Herndon,VA,
Terms of Hire: Full Time.
Salary: $Open
Job description:
Use modern tools, techniques, and methods to develop, modify, or update applications used by business units or infrastructure units. Lead, or play lead technical role in development teams' efforts to determine unit needs and business processes that are automated by the application. Assess high level design issues relating to platform, enterprise software, and interactions with other systems.
Key Job Functions:
Preferred Skills:
You Will Enjoy:
All applications will be kept strictly confidential and once shortlisted, our team will be in touch with you for further discussions.
Show more",N/A,12d,"https://www.glassdoor.com/job-listing/big-data-engineer-cedent-JV_IC1130374_KO0,17_KE18,24.htm?jl=1009425438339"
